RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,Predicted_Rank,Unique_Rank
,Russell Westbrook,Lac,G,35.3,58,22.6,24.8,17.2,133,0.677,431,0.51,138,0.268,0.484,0.511,11.1,5.1,4.4,1.1,0.4,2.0,16.1,15.5,20.5,11.1,107.1,108.6,163.0,152
,Jakob Poeltl,Tor,C,28.4,50,26.4,16.2,16.9,107,0.551,378,0.656,0,0.0,0.656,0.653,11.1,8.6,2.5,0.7,1.5,1.5,19.7,13.6,22.2,9.4,124.1,107.2,163.0,152
,P.J. Washington,Dal,F,25.6,13,31.2,15.8,10.6,21,0.714,56,0.625,70,0.3,0.528,0.547,11.4,5.3,1.3,1.1,0.8,1.2,16.7,12.7,18.0,5.5,108.0,114.3,163.0,152
,Moritz Wagner,Orl,F-C,26.9,63,18.3,22.6,14.5,178,0.803,355,0.668,91,0.319,0.629,0.671,11.2,4.6,1.2,0.5,0.3,1.2,15.8,12.4,17.0,8.6,126.0,102.4,163.0,152
,Malik Beasley,Mil,G,27.3,64,29.7,14.3,7.4,28,0.643,146,0.527,431,0.432,0.617,0.619,11.4,3.8,1.4,0.8,0.1,0.7,15.3,12.8,16.7,5.3,119.2,112.6,163.0,152
,Eric Gordon,Pho,G,35.2,53,29.5,16.8,11.0,58,0.793,191,0.56,329,0.38,0.566,0.582,12.0,2.1,2.2,0.9,0.5,1.2,14.0,14.2,16.2,5.2,112.5,116.6,163.0,152
,De'Anthony Melton,Phi,G,25.8,36,27.8,18.0,10.1,79,0.835,141,0.433,207,0.362,0.499,0.54,11.5,3.8,3.1,1.6,0.4,1.1,15.3,14.5,18.3,7.4,113.8,109.7,163.0,152
,Tyus Jones,Was,G,27.8,65,29.3,16.3,8.9,40,0.8,405,0.538,250,0.412,0.569,0.578,12.0,2.7,7.3,1.1,0.3,1.0,14.7,19.3,22.0,8.4,126.3,122.9,163.0,152
,Buddy Hield,Ind,G,31.2,52,25.7,18.6,10.7,33,0.848,160,0.575,357,0.384,0.575,0.586,12.0,3.2,2.7,0.8,0.6,1.2,15.2,14.7,17.9,7.3,114.0,116.2,163.0,152
,GG Jackson,Mem,F,19.2,32,21.4,24.1,10.5,92,0.717,155,0.503,151,0.351,0.515,0.55,11.9,3.6,0.8,0.4,0.6,1.1,15.5,12.7,16.3,6.1,105.6,113.5,163.0,152
,Cole Anthony,Orl,G,23.8,64,23.0,23.6,14.9,198,0.828,395,0.491,212,0.311,0.483,0.54,11.7,4.0,3.1,0.8,0.5,1.7,15.7,14.8,18.8,9.1,109.5,103.5,163.0,152
,Josh Giddey,Okc,G,21.4,64,24.7,22.6,16.2,87,0.828,471,0.507,185,0.33,0.504,0.528,11.5,6.1,4.4,0.7,0.5,2.0,17.6,15.8,22.0,10.9,108.6,110.2,163.0,152
,Ivica Zubac,Lac,C,27.0,52,26.2,16.4,13.6,130,0.685,394,0.655,0,0.0,0.655,0.67,11.6,9.2,1.3,0.2,1.2,1.2,20.8,13.0,22.1,7.9,131.3,105.7,163.0,152
,Wendell Carter Jr.,Orl,C,24.9,38,26.2,17.1,13.5,102,0.725,189,0.608,111,0.405,0.608,0.636,11.6,6.9,1.6,0.5,0.6,1.2,18.5,13.2,20.1,7.7,124.0,105.4,163.0,152
,Jeremy Sochan,San,G,20.8,66,29.6,18.5,15.3,126,0.778,488,0.49,191,0.33,0.491,0.521,11.6,6.2,3.4,0.8,0.5,1.9,17.8,15.0,21.2,8.5,104.9,113.6,163.0,152
,Tre Mann,Cha,G,23.1,11,30.5,17.4,13.6,19,0.789,66,0.47,42,0.405,0.523,0.55,11.6,5.2,4.7,1.6,0.0,1.5,16.8,16.4,21.5,8.6,112.4,114.1,163.0,152
,Jusuf Nurkic,Pho,C,29.6,61,27.3,19.7,21.1,213,0.648,439,0.579,87,0.241,0.543,0.572,11.6,10.8,3.8,1.0,1.0,2.3,22.4,15.4,26.1,11.4,114.0,100.2,163.0,152
,Vasilije Micic,Cha,G,30.2,14,25.3,21.8,19.8,24,0.875,85,0.518,48,0.25,0.466,0.505,10.4,2.4,5.9,0.6,0.0,2.4,12.7,16.3,18.6,8.3,103.5,119.4,182.8181818181818,176
,Cameron Payne,Phi,G,29.6,14,21.1,22.9,9.4,21,0.905,71,0.465,64,0.313,0.467,0.503,10.4,1.6,3.2,0.4,0.3,1.0,11.9,13.6,15.1,7.1,108.8,112.2,182.8181818181818,176
