RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,Predicted_Rank,Unique_Rank
,Bilal Coulibaly,Was,G,19.6,61,27.1,14.0,17.0,119,0.706,235,0.498,179,0.352,0.511,0.544,8.3,4.0,1.7,0.9,0.8,1.4,12.3,10.0,14.0,5.7,101.9,116.2,253.4,226
,Walker Kessler,Uta,C,22.6,53,23.2,13.2,14.9,81,0.568,284,0.673,19,0.211,0.65,0.65,8.3,7.5,0.9,0.5,2.6,1.0,15.8,9.2,16.7,6.6,124.2,112.1,253.4,226
,Dante Exum,Dal,G,28.7,39,19.0,16.0,11.9,57,0.754,150,0.6,72,0.472,0.635,0.658,8.3,2.7,2.8,0.5,0.1,0.8,11.1,11.2,13.9,8.4,132.8,113.0,253.4,226
,David Roddy,Mem,F,23.0,48,23.2,18.2,12.3,67,0.687,230,0.47,156,0.301,0.462,0.485,8.4,4.2,1.6,0.5,0.2,1.1,12.6,10.0,14.1,6.6,98.1,112.1,253.4,226
,Dario Saric,Gol,F-C,29.9,60,17.8,19.3,16.1,89,0.854,186,0.559,194,0.376,0.562,0.6,8.4,4.6,2.4,0.5,0.2,1.2,13.0,10.7,15.3,10.2,119.0,106.7,253.4,226
,Jabari Walker,Por,F,21.6,57,22.1,16.6,12.2,125,0.768,276,0.547,106,0.264,0.505,0.551,8.5,6.5,0.9,0.6,0.4,0.9,14.9,9.3,15.8,6.7,113.5,108.3,253.4,226
,Josh Green,Dal,G,23.3,52,27.1,12.9,13.7,55,0.673,173,0.572,174,0.402,0.588,0.599,8.6,3.3,2.4,0.9,0.2,1.1,11.8,11.0,14.2,6.0,117.6,114.2,253.4,226
,Royce O'Neale,Pho,F,30.8,13,29.5,13.5,8.6,9,0.667,27,0.37,79,0.367,0.505,0.514,8.7,6.0,3.6,1.4,0.6,0.8,14.7,12.3,18.3,7.8,116.1,108.4,253.4,226
,Danilo Gallinari,Det,F,35.6,6,14.9,15.8,4.3,24,0.875,10,0.5,12,0.583,0.705,0.799,8.7,2.3,2.0,0.3,0.3,0.2,11.0,10.7,13.0,9.2,170.4,113.1,253.4,226
,Kyle Lowry,Mia,G,38.0,37,28.0,13.4,17.7,42,0.833,81,0.506,161,0.385,0.554,0.582,8.2,3.5,4.0,1.1,0.4,1.4,11.6,12.2,15.6,6.9,115.8,107.0,253.4,226
,DeJon Jarreau,Mem,G,26.1,2,24.5,19.3,18.7,2,1.0,14,0.357,3,0.333,0.382,0.419,7.5,7.5,5.5,2.5,0.0,2.0,15.0,13.0,20.5,11.0,94.3,98.1,272.1333333333333,245
,Cody Martin,Cha,F,28.5,28,26.9,15.9,17.0,33,0.606,129,0.426,86,0.314,0.444,0.46,7.5,3.9,3.7,1.1,0.6,1.6,11.4,11.3,15.1,7.1,96.7,116.0,272.1333333333333,245
,Jordan Goodwin,Mem,G,25.4,7,29.2,17.8,15.2,12,0.417,44,0.341,23,0.261,0.358,0.367,7.6,5.4,5.0,1.6,1.1,1.7,13.0,12.6,18.0,8.1,90.8,111.4,272.1333333333333,245
,Jake LaRavia,Mem,F,22.4,21,17.1,21.0,10.5,51,0.824,70,0.486,66,0.258,0.438,0.508,7.7,3.1,1.2,0.7,0.3,0.8,10.8,8.9,12.0,7.2,107.6,106.0,272.1333333333333,245
,Matt Ryan,Nor,F,26.9,19,18.4,15.8,14.7,14,0.929,19,0.368,85,0.471,0.644,0.667,7.7,2.1,0.8,0.3,0.1,0.9,9.8,8.6,10.6,5.1,117.4,109.7,272.1333333333333,245
,Sam Merrill,Cle,G,27.8,47,16.4,17.8,3.9,15,0.933,34,0.412,262,0.405,0.584,0.595,7.7,1.9,1.6,0.3,0.0,0.3,9.5,9.2,11.1,7.0,125.1,109.8,272.1333333333333,245
,Precious Achiuwa,Tor,F,24.5,25,17.5,21.2,14.6,42,0.571,123,0.528,47,0.277,0.497,0.512,7.7,5.4,1.8,0.6,0.5,1.2,13.2,9.5,14.9,9.6,106.3,109.5,272.1333333333333,245
,Kyle Lowry,Phi,G,38.0,9,28.7,12.3,18.7,12,0.917,21,0.476,35,0.371,0.527,0.571,7.8,3.0,5.6,1.1,0.1,1.4,10.8,13.3,16.3,7.1,121.3,113.2,272.1333333333333,245
,Jaden Hardy,Dal,G,21.7,57,14.3,24.4,9.6,61,0.754,203,0.453,194,0.366,0.5,0.523,7.8,1.8,1.5,0.3,0.1,0.7,9.6,9.3,11.1,7.7,105.8,114.6,272.1333333333333,245
,Amen Thompson,Hou,G-F,21.1,46,19.7,18.4,18.5,95,0.653,235,0.587,51,0.157,0.524,0.552,7.9,5.6,2.3,1.2,0.7,1.4,13.5,10.1,15.7,9.5,110.3,100.7,272.1333333333333,245
,Al Horford,Bos,C-F,37.8,54,26.7,11.3,10.1,22,0.864,125,0.64,205,0.4,0.615,0.626,7.9,6.6,2.7,0.6,1.0,0.7,14.5,10.5,17.1,7.8,132.8,107.6,272.1333333333333,245
,Payton Pritchard,Bos,G,26.1,65,20.5,16.1,8.8,39,0.821,147,0.565,288,0.375,0.563,0.577,8.0,3.2,2.7,0.4,0.1,0.6,11.2,10.7,13.9,8.0,125.5,109.7,272.1333333333333,245
,Derrick Rose,Mem,G,35.4,24,16.6,22.5,15.8,27,0.889,124,0.492,41,0.366,0.506,0.54,8.0,1.9,3.3,0.3,0.1,1.3,9.8,11.2,13.1,8.9,108.3,114.4,272.1333333333333,245
,Nickeil Alexander-Walker,Min,F,25.5,66,23.4,14.3,13.1,53,0.792,158,0.525,258,0.384,0.556,0.575,7.7,2.0,2.6,0.8,0.5,1.0,9.7,10.2,12.3,5.8,115.1,106.2,272.1333333333333,245
,Alec Burks,Nyk,G,32.6,13,15.0,27.7,8.5,19,0.684,52,0.346,55,0.273,0.379,0.407,7.2,1.6,0.8,0.2,0.1,0.8,8.8,8.0,9.6,5.6,88.3,115.3,293.375,259
,Day'Ron Sharpe,Bro,C,22.3,48,15.5,19.2,17.5,106,0.613,223,0.596,12,0.333,0.591,0.609,7.1,6.6,1.5,0.4,0.8,1.0,13.7,8.6,15.2,10.7,122.8,101.1,293.375,259
,Evan Fournier,Det,G-F,31.4,12,16.8,18.4,10.9,13,0.846,26,0.5,47,0.34,0.507,0.54,7.1,2.1,1.3,0.9,0.2,0.8,9.2,8.3,10.4,6.4,107.1,112.4,293.375,259
,Trey Lyles,Sac,F,28.4,49,19.8,14.1,10.6,63,0.698,82,0.598,180,0.383,0.582,0.602,7.1,4.4,1.1,0.3,0.3,0.6,11.5,8.2,12.7,6.6,120.4,112.1,293.375,259
,Gary Harris,Orl,G,29.5,41,23.1,12.1,9.3,37,0.757,72,0.625,152,0.382,0.589,0.608,7.1,1.6,1.7,0.9,0.3,0.6,8.7,8.8,10.4,4.6,123.6,109.0,293.375,259
,Trey Jemison,Mem,C,24.3,12,21.5,14.4,19.9,13,0.769,64,0.594,0,0.0,0.594,0.617,7.2,4.7,0.8,0.4,1.1,1.3,11.8,8.0,12.7,5.6,111.6,102.1,293.375,259
,Landry Shamet,Was,G,27.0,46,15.8,18.8,9.9,46,0.826,117,0.556,157,0.338,0.527,0.556,7.1,1.3,1.2,0.5,0.2,0.7,8.5,8.3,9.6,5.6,107.5,115.2,293.375,259
,Kevin Knox II,Det,F,24.6,31,18.1,16.4,10.6,22,0.909,92,0.598,94,0.33,0.546,0.57,7.2,2.4,0.7,0.4,0.2,0.7,9.6,7.9,10.4,5.1,109.7,115.2,293.375,259
,Toumani Camara,Por,F,23.8,61,24.1,14.1,15.9,92,0.75,229,0.511,147,0.327,0.503,0.537,7.3,5.0,1.1,1.0,0.4,1.2,12.3,8.4,13.4,5.7,107.9,110.5,293.375,259
,Naji Marshall,Nor,F,26.1,52,18.9,16.7,16.2,80,0.788,172,0.512,117,0.393,0.543,0.581,7.3,3.6,2.0,0.7,0.2,1.1,10.9,9.3,12.9,7.9,115.5,107.9,293.375,259
,Quentin Grimes,Nyk,G,23.8,45,20.2,15.2,6.8,34,0.706,74,0.486,212,0.363,0.53,0.543,7.3,2.0,1.2,0.7,0.1,0.5,9.2,8.4,10.4,5.1,115.4,109.8,293.375,259
,Marcus Sasser,Det,G,23.5,55,16.3,19.5,14.7,43,0.86,182,0.505,155,0.4,0.549,0.572,7.4,1.6,3.0,0.6,0.1,1.1,9.0,10.4,12.0,8.1,114.1,115.1,293.375,259
,Royce O'Neale,Bro,F,30.8,49,24.5,13.8,13.6,22,0.682,60,0.483,265,0.366,0.537,0.544,7.4,4.5,2.8,0.7,0.6,1.0,11.9,10.2,14.7,7.4,111.9,108.9,293.375,259
,Paul Reed,Phi,F,24.7,65,18.9,15.6,10.9,57,0.719,329,0.568,45,0.4,0.572,0.588,7.2,5.8,1.3,0.7,0.9,0.7,13.0,8.5,14.2,8.0,123.9,103.1,293.375,259
,Cedi Osman,San,F,28.9,63,17.4,15.2,11.2,50,0.68,143,0.608,190,0.374,0.581,0.593,6.7,2.5,1.7,0.5,0.1,0.7,9.2,8.4,10.9,7.0,114.8,113.7,316.1666666666667,273
,Marcus Morris Sr.,Phi,F,34.5,37,17.2,16.2,8.5,36,0.861,115,0.47,90,0.4,0.527,0.559,6.7,2.9,0.7,0.4,0.3,0.5,9.6,7.4,10.3,5.6,112.3,109.1,316.1666666666667,273
,Shake Milton,Det,G-F,27.5,4,15.8,20.3,10.2,3,0.667,17,0.471,9,0.333,0.481,0.494,6.8,4.5,1.5,0.5,0.3,0.8,11.3,8.3,12.8,9.1,108.0,117.4,316.1666666666667,273
,Gradey Dick,Tor,G,20.3,44,17.8,15.8,9.7,26,0.923,102,0.52,150,0.373,0.544,0.566,6.8,2.0,1.2,0.5,0.0,0.6,8.8,8.0,10.0,5.7,112.2,114.8,316.1666666666667,273
,Isaiah Hartenstein,Nyk,C-F,25.9,59,24.9,11.1,20.3,112,0.723,259,0.614,3,0.333,0.613,0.646,6.8,8.3,2.2,1.1,1.1,1.1,15.1,9.0,17.3,8.0,131.1,101.1,316.1666666666667,273
,Dennis Smith Jr.,Bro,G,26.3,49,19.7,17.7,16.2,56,0.75,214,0.495,97,0.278,0.471,0.499,6.8,3.2,3.8,1.2,0.2,1.2,10.0,10.6,13.8,8.8,109.9,106.2,316.1666666666667,273
,Cason Wallace,Okc,G,20.3,65,20.5,12.6,8.8,29,0.793,156,0.603,186,0.425,0.621,0.631,6.9,2.2,1.4,0.8,0.4,0.5,9.1,8.2,10.5,5.4,125.1,110.8,316.1666666666667,273
,Peyton Watson,Den,G,21.5,63,18.3,16.5,11.7,87,0.678,222,0.559,131,0.321,0.53,0.553,6.9,3.0,1.0,0.6,1.0,0.7,9.8,7.9,10.8,6.0,109.0,108.3,316.1666666666667,273
,Robert Williams III,Por,C-F,26.4,6,19.8,13.3,21.0,9,0.778,26,0.654,0,0.0,0.654,0.684,6.8,6.3,0.8,1.2,1.2,1.2,13.2,7.7,14.0,6.6,121.2,101.3,316.1666666666667,273
,Killian Hayes,Det,G,22.6,42,24.0,14.9,15.3,50,0.66,209,0.455,74,0.297,0.452,0.474,6.9,2.8,4.9,0.9,0.5,1.2,9.7,11.8,14.6,7.6,107.1,115.9,316.1666666666667,273
,Christian Wood,Lal,F,28.5,50,17.4,17.6,15.9,94,0.702,150,0.587,114,0.307,0.532,0.568,6.9,5.1,1.0,0.3,0.7,1.0,12.0,7.9,13.0,7.5,106.5,107.8,316.1666666666667,273
,Trayce Jackson-Davis,Gol,F,24.1,51,13.7,17.2,13.4,94,0.564,213,0.714,0,0.0,0.714,0.702,7.0,4.2,1.0,0.3,0.9,0.6,11.2,8.0,12.2,9.0,134.3,105.3,316.1666666666667,273
,Jose Alvarado,Nor,G,25.9,43,17.2,18.3,11.5,42,0.69,111,0.486,151,0.358,0.515,0.533,7.0,2.2,2.0,1.1,0.3,0.8,9.1,9.0,11.1,7.3,110.0,106.3,316.1666666666667,273
,Keon Johnson,Bro,G,22.0,4,12.8,23.1,17.1,10,1.0,10,0.3,9,0.444,0.474,0.598,7.0,1.3,0.8,0.8,0.3,1.0,8.3,7.8,9.0,6.1,114.8,112.8,316.1666666666667,273
,Isaiah Jackson,Ind,F,22.2,48,13.5,17.9,14.7,92,0.717,198,0.677,4,0.0,0.663,0.689,7.0,4.1,0.8,0.6,1.1,0.7,11.0,7.8,11.9,8.4,132.0,100.9,316.1666666666667,273
,Danilo Gallinari,Was,F,35.6,26,14.8,18.3,8.4,56,0.839,67,0.552,64,0.313,0.511,0.581,7.0,2.9,1.2,0.2,0.1,0.5,9.9,8.2,11.1,7.8,118.9,117.1,316.1666666666667,273
,Christian Braun,Den,G,22.9,65,19.1,15.9,10.3,109,0.706,245,0.49,120,0.358,0.505,0.54,6.9,3.6,1.4,0.4,0.4,0.6,10.4,8.2,11.8,6.8,112.9,109.0,316.1666666666667,273
,Chris Boucher,Tor,F-C,31.2,50,14.1,17.3,11.4,92,0.772,123,0.642,94,0.33,0.578,0.625,6.4,4.1,0.5,0.3,0.5,0.6,10.6,6.9,11.0,6.7,123.2,109.7,333.7857142857143,290
,Daniel Theis,Lac,F-C,31.9,48,17.3,15.2,12.5,44,0.727,184,0.587,53,0.377,0.582,0.601,6.4,4.1,1.0,0.4,0.9,0.7,10.5,7.4,11.5,6.9,121.7,104.7,333.7857142857143,290
,Aaron Holiday,Hou,G,27.4,62,16.4,16.6,12.0,46,0.913,158,0.5,173,0.405,0.556,0.584,6.6,1.6,1.8,0.5,0.1,0.7,8.3,8.4,10.0,6.5,115.8,108.3,333.7857142857143,290
,Miles McBride,Nyk,G,23.5,52,15.0,17.7,6.1,28,0.821,128,0.477,162,0.407,0.552,0.567,6.6,1.1,1.4,0.6,0.1,0.4,7.7,8.0,9.1,5.8,122.4,108.6,333.7857142857143,290
,Ben Simmons,Bro,G,27.6,15,23.9,12.9,26.7,15,0.4,74,0.581,0,0.0,0.581,0.571,6.1,7.9,5.7,0.8,0.6,1.8,14.1,11.9,19.8,10.9,120.5,105.7,351.1818181818182,294
,Richaun Holmes,Was,F,30.4,10,14.6,14.1,9.0,11,0.909,39,0.59,1,1.0,0.613,0.658,5.9,3.9,0.4,0.5,0.4,0.4,9.8,6.3,10.2,5.7,131.5,109.2,351.1818181818182,294
,Ochai Agbaji,Tor,G,23.9,13,18.0,17.7,11.0,13,0.692,46,0.457,35,0.257,0.426,0.45,6.0,2.4,0.8,0.4,0.5,0.8,8.4,6.8,9.2,5.0,93.7,113.4,351.1818181818182,294
,Xavier Tillman,Mem,C,25.2,34,20.6,16.1,12.0,43,0.419,160,0.469,53,0.226,0.437,0.44,6.0,4.6,1.7,1.2,1.0,0.9,10.6,7.7,12.3,7.0,97.7,106.7,351.1818181818182,294
,Doug McDermott,San,F,32.2,46,15.2,14.8,10.0,17,0.588,42,0.452,173,0.439,0.619,0.62,6.0,1.0,1.2,0.2,0.0,0.5,7.0,7.2,8.3,5.1,116.1,118.0,351.1818181818182,294
,Mason Plumlee,Lac,F-C,34.0,30,16.3,14.2,18.1,72,0.667,103,0.641,1,0.0,0.635,0.663,6.0,5.7,1.3,0.3,0.4,0.8,11.7,7.3,12.9,8.7,130.9,105.5,351.1818181818182,294
,Jae Crowder,Mil,F,33.7,35,24.0,10.7,8.1,26,0.692,69,0.551,113,0.345,0.53,0.545,6.0,3.5,1.5,0.9,0.2,0.5,9.5,7.5,11.0,5.3,114.7,111.4,351.1818181818182,294
,Jeff Green,Hou,F,37.5,61,16.2,14.9,13.7,125,0.808,160,0.55,91,0.319,0.524,0.595,6.0,2.1,0.9,0.2,0.4,0.7,8.1,6.8,8.9,5.5,117.3,110.3,351.1818181818182,294
,Nick Smith Jr.,Cha,G,19.9,40,15.5,19.0,12.5,13,0.846,113,0.345,118,0.432,0.5,0.511,6.1,1.5,1.3,0.2,0.2,0.8,7.5,7.3,8.8,5.9,99.6,117.2,351.1818181818182,294
,Amir Coffey,Lac,G-F,26.7,52,18.9,11.8,9.0,52,0.885,112,0.616,109,0.413,0.618,0.654,6.1,1.8,1.0,0.5,0.2,0.4,8.0,7.1,8.9,4.7,129.7,113.3,351.1818181818182,294
,Nikola Jovic,Mia,F,20.8,30,17.8,16.2,16.1,33,0.606,70,0.457,81,0.42,0.55,0.562,6.2,4.2,2.0,0.4,0.4,1.0,10.4,8.2,12.4,8.4,109.9,103.9,351.1818181818182,294
,Julian Champagnie,San,F,22.7,58,17.5,14.3,11.9,60,0.833,80,0.463,202,0.371,0.53,0.566,6.0,2.6,1.3,0.6,0.5,0.7,8.6,7.3,9.9,6.2,111.8,116.6,351.1818181818182,294
,Bones Hyland,Lac,G,23.5,26,13.7,24.4,15.1,14,0.786,79,0.418,84,0.333,0.46,0.476,6.2,1.0,2.0,0.5,0.1,1.1,7.2,8.2,9.2,6.8,96.1,109.5,351.1818181818182,294
,Cam Reddish,Lal,F-G,24.5,40,22.2,13.1,12.5,48,0.771,115,0.461,102,0.343,0.486,0.521,6.2,2.3,1.2,1.1,0.3,0.8,8.5,7.4,9.7,4.6,102.7,112.3,351.1818181818182,294
,Mitchell Robinson,Nyk,C,25.9,21,29.2,9.6,18.3,38,0.368,98,0.592,0,0.0,0.592,0.567,6.2,10.3,0.7,1.5,1.3,1.0,16.5,6.9,17.2,4.9,122.3,106.8,351.1818181818182,294
,Cameron Payne,Mil,G,29.6,47,14.9,16.6,12.2,44,0.841,91,0.538,131,0.397,0.572,0.603,6.2,1.3,2.3,0.5,0.1,0.7,7.5,8.5,9.8,7.1,122.0,109.4,351.1818181818182,294
,Craig Porter,Cle,G,24.0,41,13.9,20.5,16.0,51,0.725,176,0.534,29,0.379,0.539,0.567,6.3,2.4,2.5,0.5,0.3,1.0,8.7,8.8,11.2,9.7,114.9,108.0,351.1818181818182,294
,Skylar Mays,Por,G,26.5,21,17.0,19.6,11.5,17,0.765,89,0.438,49,0.286,0.435,0.457,6.3,1.8,3.6,0.7,0.1,0.9,8.1,9.9,11.7,8.1,106.9,116.9,351.1818181818182,294
,James Wiseman,Det,C,23.0,45,14.8,15.7,16.7,57,0.632,182,0.676,2,0.0,0.668,0.674,6.3,4.4,0.7,0.2,0.6,0.8,10.7,7.0,11.4,7.3,124.1,107.0,351.1818181818182,294
,Jonathan Isaac,Orl,F,26.4,44,14.9,17.4,9.9,67,0.716,135,0.578,74,0.338,0.553,0.585,6.3,4.3,0.4,0.7,1.1,0.5,10.7,6.8,11.1,5.9,118.9,104.9,351.1818181818182,294
,Aaron Wiggins,Okc,G,25.2,62,14.6,15.5,12.9,48,0.771,167,0.617,97,0.485,0.657,0.673,6.2,2.3,0.9,0.6,0.2,0.6,8.5,7.1,9.4,6.4,126.5,109.8,351.1818181818182,294
,Kyle Anderson,Min,F-G,30.5,63,22.4,14.3,19.3,110,0.7,293,0.505,38,0.211,0.483,0.523,6.3,3.5,4.1,0.8,0.5,1.3,9.8,10.4,14.0,8.0,113.9,105.4,351.1818181818182,294
,Patrick Beverley,Phi,G,35.7,47,19.6,14.8,16.9,63,0.81,132,0.523,109,0.321,0.504,0.547,6.3,3.1,3.1,0.5,0.4,1.0,9.3,9.3,12.4,8.0,114.6,110.0,351.1818181818182,294
,Matisse Thybulle,Por,F,27.0,61,23.3,10.5,10.9,29,0.759,82,0.537,220,0.35,0.528,0.542,5.6,2.1,1.3,1.8,0.8,0.6,7.7,6.9,9.0,4.3,111.2,114.1,369.85714285714283,317
,Haywood Highsmith,Mia,F,27.3,48,19.8,12.3,10.3,26,0.808,91,0.527,136,0.368,0.542,0.56,5.6,2.7,1.0,0.9,0.5,0.5,8.3,6.5,9.2,5.0,112.8,106.3,369.85714285714283,317
,Sasha Vezenkov,Sac,F,28.6,35,12.6,17.6,6.2,13,0.769,65,0.554,100,0.38,0.564,0.574,5.6,2.5,0.4,0.5,0.2,0.3,8.1,6.0,8.5,5.6,116.9,111.7,369.85714285714283,317
,Jordan Nwora,Tor,F,25.5,18,11.9,21.5,8.1,22,0.909,49,0.449,41,0.317,0.461,0.517,5.7,2.5,1.1,0.4,0.2,0.4,8.2,6.8,9.3,8.4,110.5,112.6,369.85714285714283,317
,Ricky Council IV,Phi,G,22.6,22,9.2,24.5,4.5,60,0.733,65,0.538,20,0.2,0.482,0.566,5.7,1.8,0.3,0.1,0.0,0.2,7.5,6.0,7.8,6.3,121.7,114.6,369.85714285714283,317
,Trendon Watford,Bro,F,23.3,47,11.5,20.2,14.7,51,0.882,155,0.568,42,0.357,0.561,0.606,5.7,2.6,1.2,0.3,0.3,0.7,8.3,6.8,9.5,9.1,118.5,104.7,369.85714285714283,317
,Jaylen Nowell,Mem,G,24.7,9,17.4,17.0,8.3,3,1.0,32,0.563,23,0.174,0.436,0.453,5.7,1.6,1.8,0.3,0.0,0.6,7.2,7.4,9.0,5.8,98.3,111.8,369.85714285714283,317
,Torrey Craig,Chi,F,33.2,36,20.5,12.5,11.6,27,0.778,69,0.493,106,0.368,0.529,0.551,5.7,4.5,1.1,0.6,0.4,0.6,10.2,6.8,11.3,5.9,116.7,107.8,369.85714285714283,317
,Pat Connaughton,Mil,G,31.2,60,21.7,10.5,12.4,42,0.738,76,0.645,186,0.376,0.588,0.604,5.7,3.3,1.9,0.6,0.3,0.6,8.9,7.5,10.8,6.1,123.1,113.7,369.85714285714283,317
,Taylor Hendricks,Uta,F,20.3,23,17.4,14.3,12.7,11,0.818,48,0.583,68,0.338,0.539,0.554,5.8,4.0,0.6,0.6,0.6,0.7,9.8,6.4,10.3,5.5,109.3,111.7,369.85714285714283,317
,Onuralp Bitim,Chi,F,25.0,9,13.5,16.6,9.0,4,0.75,16,0.5,24,0.375,0.538,0.551,5.1,1.9,0.4,0.1,0.1,0.4,7.0,5.6,7.4,4.7,109.1,114.3,389.7692307692308,327
,Julian Strawther,Den,G,21.9,40,12.4,20.0,7.8,25,0.72,75,0.493,125,0.304,0.47,0.488,5.2,1.3,1.1,0.4,0.2,0.4,6.5,6.2,7.5,6.3,101.8,108.4,389.7692307692308,327
,Bryce McGowens,Cha,G,21.3,50,15.8,13.9,11.8,69,0.754,106,0.547,88,0.341,0.531,0.575,5.2,1.8,0.9,0.4,0.1,0.5,7.0,6.1,7.9,5.2,113.2,115.0,389.7692307692308,327
,Jordan Nwora,Ind,F,25.5,18,10.1,22.7,12.7,11,0.818,46,0.565,36,0.306,0.518,0.541,5.2,1.8,1.0,0.3,0.1,0.7,7.1,6.2,8.1,8.3,105.6,112.3,389.7692307692308,327
,Jarred Vanderbilt,Lal,F,24.9,29,20.0,11.7,19.7,36,0.667,87,0.586,27,0.296,0.553,0.578,5.2,4.8,1.2,1.2,0.2,1.0,9.9,6.4,11.2,6.2,112.9,108.4,389.7692307692308,327
,Luke Kornet,Bos,C-F,28.7,47,15.1,11.3,10.8,41,0.902,149,0.698,0,0.0,0.698,0.733,5.2,4.0,1.0,0.3,1.0,0.4,9.2,6.2,10.2,7.3,152.4,105.3,389.7692307692308,327
,Bismack Biyombo,Mem,C,31.5,30,23.9,10.7,24.2,46,0.478,119,0.563,0,0.0,0.563,0.56,5.2,6.4,1.7,0.3,1.1,1.3,11.6,6.9,13.3,6.4,107.9,104.9,389.7692307692308,327
,Monte Morris,Min,G,28.7,11,15.7,15.8,3.4,7,0.714,32,0.406,25,0.36,0.465,0.483,5.3,1.5,2.9,0.6,0.2,0.2,6.8,8.2,9.7,7.3,120.0,110.8,389.7692307692308,327
,Jamal Cain,Mia,F,25.0,16,14.1,16.6,6.7,23,0.783,43,0.488,26,0.308,0.478,0.531,5.3,2.0,0.3,0.6,0.3,0.3,7.3,5.5,7.5,4.2,111.2,108.7,389.7692307692308,327
,Quentin Grimes,Det,G,23.8,5,20.0,19.0,14.1,7,1.0,11,0.364,25,0.16,0.278,0.345,5.4,2.4,2.2,1.0,0.8,1.2,7.8,7.6,10.0,6.1,78.8,116.5,389.7692307692308,327
,Patrick Beverley,Mil,G,35.7,14,18.6,14.3,12.3,13,0.769,33,0.394,38,0.342,0.458,0.489,5.4,3.2,2.1,0.9,0.5,0.7,8.6,7.5,10.7,7.1,108.4,107.0,389.7692307692308,327
,Malachi Flynn,Tor,G,25.8,31,15.3,16.2,19.4,22,0.773,57,0.491,80,0.35,0.511,0.535,5.1,2.1,2.4,0.6,0.2,1.1,7.2,7.4,9.5,7.7,105.7,112.3,389.7692307692308,327
,Dean Wade,Cle,F,27.3,54,20.5,10.4,7.9,26,0.769,30,0.567,202,0.391,0.584,0.598,5.4,4.0,0.8,0.7,0.5,0.4,9.4,6.2,10.2,5.0,121.0,105.2,389.7692307692308,327
,Ochai Agbaji,Uta,G,23.9,51,19.7,12.1,12.0,20,0.75,107,0.551,142,0.331,0.52,0.531,5.4,2.5,0.9,0.5,0.6,0.7,7.8,6.3,8.8,4.7,106.9,117.8,389.7692307692308,327
,Larry Nance Jr.,Nor,F-C,31.2,46,18.8,11.3,18.7,44,0.727,121,0.645,48,0.438,0.648,0.666,5.5,5.1,1.6,1.0,0.4,0.8,10.5,7.0,12.1,7.6,128.4,104.9,389.7692307692308,327
,Goga Bitadze,Orl,C-F,24.6,52,17.4,12.9,17.1,79,0.658,181,0.635,12,0.167,0.611,0.632,5.5,5.2,1.4,0.6,1.3,0.8,10.7,7.0,12.2,7.9,127.9,101.6,389.7692307692308,327
,Dyson Daniels,Nor,G,21.0,52,21.9,12.5,16.9,50,0.64,146,0.548,110,0.291,0.5,0.518,5.5,3.7,2.6,1.4,0.4,1.0,9.2,8.2,11.8,6.9,110.8,107.0,389.7692307692308,327
,Dexter Dennis,Dal,G,25.1,4,7.5,33.3,13.5,3,0.333,11,0.818,8,0.125,0.553,0.541,5.5,2.3,1.0,0.0,0.3,0.8,7.8,6.5,8.8,12.4,100.5,115.0,389.7692307692308,327
,Gary Payton II,Gol,G,31.3,29,15.5,14.0,11.8,14,0.643,87,0.621,40,0.35,0.591,0.597,5.5,2.9,1.0,1.0,0.3,0.6,8.3,6.5,9.3,6.5,120.0,107.1,389.7692307692308,327
,Kris Dunn,Uta,G,30.0,57,18.5,13.6,21.3,25,0.68,169,0.527,93,0.398,0.552,0.56,5.4,2.8,3.9,1.1,0.4,1.2,8.2,9.3,12.1,8.4,116.8,111.1,389.7692307692308,327
,Gabe Vincent,Lal,G,27.7,5,25.5,11.8,5.8,2,0.5,15,0.667,17,0.118,0.406,0.411,5.4,1.0,3.0,1.2,0.0,0.4,6.4,8.4,9.4,4.0,99.9,111.1,389.7692307692308,327
,Drew Eubanks,Pho,F-C,27.1,59,15.9,13.4,20.6,80,0.763,201,0.622,3,1.0,0.635,0.669,5.4,4.3,0.9,0.4,0.8,0.9,9.7,6.3,10.6,6.9,123.3,107.1,389.7692307692308,327
,Bol Bol,Pho,C-F,24.3,27,11.1,17.2,9.5,10,0.7,74,0.743,31,0.323,0.667,0.672,5.4,3.5,0.4,0.2,0.6,0.4,8.9,5.9,9.3,7.1,128.1,105.7,389.7692307692308,327
,Nicolas Batum,Phi,G-F,35.2,41,24.9,8.6,13.3,19,0.737,50,0.6,119,0.412,0.612,0.623,5.4,4.0,2.1,0.7,0.6,0.6,9.4,7.5,11.6,5.7,129.8,111.3,389.7692307692308,327
,Josh Okogie,Pho,F,25.5,54,17.1,12.9,14.2,100,0.74,108,0.519,91,0.297,0.485,0.549,4.9,2.7,1.1,0.9,0.4,0.6,7.7,6.1,8.8,5.7,119.1,111.6,408.7894736842105,351
,T.J. Warren,Min,F,30.5,4,16.1,15.1,13.6,0,0.0,12,0.667,7,0.143,0.5,0.5,4.8,2.0,0.8,0.3,0.0,0.8,6.8,5.5,7.5,4.9,95.3,101.4,408.7894736842105,351
